S/N,Latitude,Longitude,Location,LGA,State,24hr,3day,7day
1,13.751999855041504,5.663000106811523,Gada,Gada,SOKOTO,CRITICAL,HIGH,MODERATE
2,13.690999984741211,5.419000148773193,Gidan Makera,Illela,SOKOTO,LOW,HIGH,LOW
3,13.65999984741211,4.797999858856201,Manu,Tangaza,SOKOTO,MODERATE,HIGH,HIGH
4,13.571999549865723,4.376999855041504,Kurdula,Gudu,SOKOTO,LOW,HIGH,HIGH
5,13.550999641418457,4.574999809265137,Tapkin Fuss,Gudu,SOKOTO,HIGH,HIGH,HIGH
6,13.527999877929688,5.997000217437744,Kurukuru,Sabon Birni,SOKOTO,MODERATE,MODERATE,MODERATE
7,13.494999885559082,5.447000026702881,Darma Galadima,Illela,SOKOTO,MODERATE,CRITICAL,CRITICAL
8,13.493000030517578,5.23799991607666,Raka,Gwadabawa,SOKOTO,CRITICAL,HIGH,MODERATE
9,13.467000007629395,13.33899974822998,Arege,Abadam,BORNO,LOW,MODERATE,HIGH
10,13.461000442504883,5.734000205993652,Shinaka,Goronyo,SOKOTO,LOW,HIGH,CRITICAL
11,13.392000198364258,4.660999774932861,Bamgi,Gudu,SOKOTO,MODERATE,MODERATE,HIGH
12,13.36299991607666,12.798999786376953,Gashagar,Mobbar,BORNO,HIGH,LOW,MODERATE
13,13.361000061035156,6.289000034332275,Guidan Kurau,Sabon Birni,SOKOTO,LOW,MODERATE,CRITICAL
14,13.28600025177002,5.429999828338623,Wurno,Wurno,SOKOTO,MODERATE,HIGH,CRITICAL
15,13.279000282287598,11.310999870300293,Karagu,Yunusari,YOBE,LOW,MODERATE,HIGH
16,13.260000228881836,5.756999969482422,Kadagiwa,Wurno,SOKOTO,MODERATE,MODERATE,CRITICAL
17,13.258000373840332,10.51099967956543,Meori,Yusufari,YOBE,LOW,LOW,MODERATE
18,13.229000091552734,6.334000110626221,Isa,Isa,SOKOTO,LOW,MODERATE,CRITICAL
19,13.21399974822998,5.269000053405762,Kware,Kware,SOKOTO,HIGH,LOW,HIGH
20,13.211000442504883,5.506999969482422,Marnona,Wurno,SOKOTO,HIGH,HIGH,MODERATE
21,13.17199993133545,10.248000144958496,Gumsi,Machina,YOBE,HIGH,MODERATE,HIGH
22,13.168000221252441,6.452000141143799,Tukudawa,Isa,SOKOTO,HIGH,MODERATE,MODERATE
23,13.168000221252441,11.470999717712402,Buluk Buluk,Yunusari,YOBE,CRITICAL,CRITICAL,LOW
24,13.156999588012695,4.221000194549561,Sakwabe,Arewa,KEBBI,LOW,LOW,HIGH
25,13.147000312805176,10.638999938964844,Kumagunnam,Yusufari,YOBE,LOW,LOW,HIGH
26,13.138999938964844,10.050999641418457,Matsena,Machina,YOBE,LOW,MODERATE,HIGH
27,13.133999824523926,7.788000106811523,Gafiya,Kaita,KATSINA,LOW,MODERATE,HIGH
28,13.123000144958496,13.880999565124512,Baga,Kukawa,BORNO,CRITICAL,CRITICAL,CRITICAL
29,13.116999626159668,4.907000064849854,Bunkari,Binji,SOKOTO,CRITICAL,CRITICAL,MODERATE
30,13.093000411987305,7.949999809265137,Guma,Mashi,KATSINA,MODERATE,MODERATE,CRITICAL
31,13.093000411987305,11.088000297546387,Ulmiri,Yusufari,YOBE,LOW,MODERATE,HIGH
32,13.092000007629395,7.223999977111816,Jibiya,Jibia,KATSINA,HIGH,HIGH,HIGH
33,13.088000297546387,11.211000442504883,Yusufari,Yusufari,YOBE,LOW,MODERATE,HIGH
34,13.074999809265137,12.732000350952148,Zari,Mobbar,BORNO,CRITICAL,CRITICAL,CRITICAL
35,13.057000160217285,5.245999813079834,Sokoto,Sokoto South,SOKOTO,LOW,HIGH,CRITICAL
